Word,Positive Score,Negative Score
ਨਿਰਬਲ,0.16666667,0.41964287
ਅਣਡਿੱਠ,0.25,0.375
ਗਿਰਿਆਜ਼ਾਰੀ,0.0,0.375
ਉੱਨਤੀਯੋਗ,0.3125,0.0
ਸਤੂਪ,0.0,0.0
ਸ਼ਸਤਰਹੀਣ,0.0,0.5833333
ਇਕਤ੍ਰਿਤ,0.0,0.0
ਦੁਬਿੰਦੀ,0.0,0.0
ਨਿਰਭਉ,0.5,0.125
ਗੁਲਨਾਰੀ,0.0,0.0
ਸਤੂਨ,0.125,0.1875
ਪਰਹੀਨ,0.0,0.5
ਜੋਸ਼ਾਂਦਾ,0.0,0.0
ਯੂਰਪੀ,0.0,0.0
ਤੁਫੰਗ,0.0,0.0
ਡਾਕਟਰ,0.0,0.125
ਉਦਾਲ਼ਾ,0.125,0.0
ਅਸੁਰੱਖਿਆ,0.25,0.16666667
ਕੁਤਰ,0.14285715,0.125
ਸਿਹਤਨਾਸ਼ਕ,0.125,0.6875
ਸਾਵਧਾਨ,0.42857143,0.5
ਤਕਦੀਰੀ,0.29166666,0.46875
ਇਮਤਿਆਜ਼,0.5,0.5833333
ਫੀਜੀ_ਡਾਲਰ,0.0,0.0
ਕੁਤਬ,0.0,0.125
ਚੰਚਲਤਾਈ,0.375,0.3125
ਨਿਵਾਸੀ,0.0,0.125
ਦੱਸੇ_ਹੋਏ,0.47115386,0.41666666
ਤਾਂਤਾ,0.125,0.5
ਕਸਉਟੀ,0.0,0.0
ਉਦਾਲ਼ੇ,0.125,0.0
ਖਟਾਖਟ,0.375,0.375
ਕੁਣਸ,0.125,0.39583334
ਅਗੋਚਰ,0.1875,0.6875
ਨਤਾਕਤਾ,0.1375,0.41346154
ਸੈਕਲ,0.0,0.0
ਯਸ਼ਬ,0.0,0.0
ਸੇਵਕ,0.0,0.375
ਨਤਾਕਤੀ,0.3125,0.45
ਪਹਿਲੋਂ,0.0,0.125
ਬੰਧਨੀ,0.0,0.0
ਵਿਸਫੋਟ,0.125,0.09375
ਫਲਹੀਨ,0.0,0.375
ਕੁਰਕ,0.0,0.0
ਦਸਤੂਰੀ,0.25,0.25
ਉਪਯੋਗੀ,0.5625,0.0
ਭਲਵਾਨਾ,0.375,0.125
ਦੰਪਤੀ,0.0,0.25
ਵਜਨੀ,0.25,0.125
ਨਿਵਾਸਨ,0.125,0.375
ਦਾਹਵਾ,0.125,0.0
ਸੁਹਬਤ,0.0,0.0
ਸ਼ਾਸ਼ਨ_ਕਾਲ,0.0,0.083333336
ਸੁਖੈਨ,0.3611111,0.375
ਖੂੰਡ,0.1875,0.33333334
ਨਿਰਨਾ,0.375,0.25
ਲੱਕ_ਤੋੜਣਾ,0.3125,0.325
ਸ਼ਿਲਪਕਾਰੀ,0.0,0.0
ਅਸੁਭਾਵਿਕ,0.5,0.46875
ਅਵਤਾਰਿਤ,0.0625,0.041666668
ਤਕੱਲਫ਼,0.28125,0.125
ਜੋੜਨਾ,0.0,0.1875
ਸਾਰਣੀ,0.0,0.0
ਟੱਕੀਦਾ,0.0,0.0
ਕਰੋਲ਼ਨਾ,0.0,0.625
ਸੰਨਾਟਾ,0.25,0.46875
ਜੋੜਨੀ,0.0,0.0
ਸੇਵਨ,0.0,0.0
ਭਾਰਢੋਊ_ਪਸ਼ੂ,0.28125,0.0625
ਸਨਤਕਾਰ,0.125,0.0
ਸੇਵਾ,0.4375,0.21875
ਸਾਰਥਕ,0.0,0.0
ਨਿਰਨੇ,0.0,0.0
ਸ਼ੋਸ਼ੇਲਿਜਮ,0.0,0.0
ਖਟਿਆਈ,0.25,0.125
ਗ੍ਰਿਹਸਤੀ,0.0,0.0
ਜੋਗੀਆ,0.0,0.0
ਛਿੱਦਣਾ,0.0,0.0
ਚੰਨਦਰਮਾ,0.125,0.125
ਉਦਾਸੀ,0.20833333,0.5480769
ਠੇਲ੍ਹਣਾ,0.0,0.0
ਦਰਜ਼ੀ,0.125,0.25
ਰਜਵਿਆਂ,0.0,0.0
ਭੂਚਾਲ,0.0,0.4375
ਸਰਨਾਵਾਂ,0.0,0.0
ਟਾਪਾ,0.0,0.0
ਟਾਪੂ,0.0,0.0
ਨਕੀਬ,0.25,0.0
ਦਾਹਵਤ,0.375,0.25
ਵਾਪਰ,0.0,0.0
ਰੰਗਵਾਦਕ,0.0,0.0
ਪ੍ਰਸਥਿਤੀ,0.0,0.0
ਇਤਿਹਾਸਿਕ,0.0,0.0
ਡੂੰਘ,0.25,0.25
ਪਾਪੀ,0.30357143,0.3984375
ਧਿਆਉਣਾ,0.29166666,0.0
ਤੱਤੀਆਂ,0.3125,0.25
ਪਲਟੀਦਾ,0.0,0.125
ਡਿਗਾਉ,0.0,0.375
ਸ਼ੁਭਾ,0.18333334,0.3897059
ਰਗੜ,0.0,0.25
ਸਥਰੁ,0.0625,0.25
ਗਰਗਰਾਉਣਾ,0.125,0.125
ਨਿਰਧਨ,0.222,0.5255
ਤਵਿੱਢਾ,0.0,0.0
ਕੁਰਬ,0.125,0.75
ਕੁਰਮ,0.0,0.125
ਦੇਖਣਹਾਰ,0.25,0.0
ਉੱਸਰਵਾਂ,0.3125,0.125
ਹਰਿਆ-ਭਰਿਆ,0.125,0.125
ਕੁਸਕਿਓ,0.0,0.0
ਇਕਰੂਪਤਾ,0.1875,0.34375
ਹੁਲੀਆ,0.375,0.125
ਤਬਕਾ,0.375,0.0
ਦੋ_ਤਾਰੀਕ,0.0,0.0
ਨਕਾਰ,0.0,0.875
ਤਰਫਦਾਰੀ,0.33333334,0.125
ਹੁਲਾਸ,0.3125,0.25
ਗੇਰੂ,0.0,0.0
ਸਹੂਲਤ,0.325,0.5625
ਨਕਾਬ,0.0,0.25
ਤਾਬੇਦਾਰ,0.35,0.375
ਪਿਤਰਕ,0.0,0.0
ਗੇਰੀ,0.0,0.0
ਨਕਾਸ਼,0.0,0.0
ਵਾਧੇ,0.0,0.0
ਟਿਊਬ,0.125,0.0
ਨਿਰਮੂਲ,0.0,0.0
ਜਖੀਰਾ,0.29166666,0.0
ਵਿਭੰਨਤਾ,0.4375,0.25
ਪਾਨੀ,0.0,0.0
ਨਿਵਾਲਾ,0.0,0.125
ਵਾਧਾ,0.1875,0.041666668
ਢੇਲਾ,0.25,0.0
ਪੱਖਪਾਤਹੀਣ,0.32142857,0.39285713
ਨਿਰਦਈ,0.29166666,0.46875
ਜਿਰਾੱਕਸ,0.3125,0.25
ਹੋਕਾ,0.0,0.0
ਦਰਜ਼ਣ,0.125,0.25
ਸੂਚਨਾ,0.275,0.175
ਨੁਕਤਾਚੀਨ,0.375,0.125
ਵਾਨਰ,0.0,0.0
ਜੰਤਰੀ,0.125,0.25
ਅੰਬਿਆਂ,0.25,0.5
ਕੁਬੜ,0.0,0.0
ਸਰਕਾਰੀ,0.25,0.1875
ਘੋਗਾ,0.0,0.0
ਅਸੁਰੱਖਿਅਤ,0.20833333,0.45833334
ਬਾਰੀਕੀ,0.25,0.25
ਦਖਣੀਆ,0.0,0.0
ਕਿਰਪਾਲੂ,0.625,0.0
ਕਰਾਬੀਸ,0.0,0.0
ਵਿਆਜ,0.0625,0.0
ਕੁਮਕ,0.0,0.0
ਪਸਰਿਆ,0.0,0.625
ਸੇਮਾ,0.0,0.0
ਮਜ਼ਾ,0.33333334,0.16666667
ਝੌਂਪੜਾ,0.125,0.0
ਨਿਰਣਾ,0.0,0.0
ਝੌਂਪੜੀ,0.0,0.0
ਅਣਡਿੱਠਾ,0.125,0.625
ਗੇਲੀ,0.25,0.3125
ਵਾਦਨ,0.0,0.0
ਬਦਸਲੂਕੀ,0.0,0.375
ਘੋਖੀ,0.4375,0.125
ਪਰਹੇਜ਼,0.25,0.20833333
ਅਰਜ਼ੀ,0.0,0.0
ਨਕ਼ਲ,0.3125,0.25
ਫੋਟੋ_ਖਿੱਚਣਾ,0.3125,0.203125
ਖਾਸਕੀ,0.0,0.0
ਅਨੁਮਾਨਿਤ,0.125,0.0
ਧਾਰੀਆਂ_ਵਾਲਾ,0.25,0.0
ਢੇਰਾ,0.0,0.0
ਹੈੱਡ,0.0,0.0
ਢੇਰੀ,0.125,0.0
ਡੂਡਣਾ,0.125,0.0
ਅਮੰਗਲ,0.25,0.6458333
ਕੁਰਹਿਤਣ,0.25,0.40625
ਵਾਧਕ,0.0,0.125
ਪੰਝੱਤਰ,0.0,0.0
ਤਕੱਬਰ,0.3125,0.4107143
ਨਰਤਕੀ,0.0,0.0
ਹਿੱਬਾ,0.0,0.0
ਕਠੋਰਤਾ,0.125,0.5714286
ਪੱਛਮ_ਦਿਸ਼ਾ,0.0,0.25
ਅਰਿੰਡੀ,0.0,0.0
ਪ੍ਰਤੀਨਿਧਤਾ,0.0,0.0
ਯਾਰ,0.1875,0.0
ਕਟੁੰਬ,0.0,0.0
ਟਿਕਾ,0.2840909,0.25
ਅਵਲੋਕਣ,0.125,0.0
ਹੁੱਲੜਬਾਜ,0.3125,0.46875
ਖਰਚ_ਕਰਨਾ,0.0,0.0
ਕੁਸਕ,0.0,0.0
ਆਯੋਜਿਤ,0.0,0.0
ਨਿਰਮਾਣ_ਕਰਵਾਉਣਾ,0.0,0.0
ਤਾਂਗਾ,0.0,0.0
ਲਖੀਦਾ,0.1875,0.375
ਕੁਢੰਗ,0.0,0.125
ਅੜੀਖੋਰਾ,0.875,0.5625
ਝਕੋਲ,0.25,0.0
ਇਨਾੱਕਸ,0.0,0.75
ਪਾਵਨ,0.0,0.0
ਸੰਕੇਤਕ,0.25,0.0
ਤੰਗੀ_ਤੁਰਸੀ,0.22916667,0.4375
ਕਪੁੱਤ,0.33333334,0.33333334
ਘੁਰਾੜਾ,0.0,0.0
ਯਾਦ,0.375,0.125
ਇਸਮਤ,0.75,0.0
ਵਾਪਸ_ਲੈਣਾ,0.20833333,0.25
ਦੂਤਘਰ,0.0,0.0
ਵੱਡਾ_ਕਮਰਾ,0.31944445,0.2
ਕੁਸ਼ਲ,0.5434167,0.31933334
ਤਿਮਾਹੀਆਂ,0.0,0.0
ਹੋਰਨਾ,0.0,0.625
ਯਾਨ,0.20833333,0.125
ਉਕਰੇਵਾਂ,0.0,0.0
ਯੁਗ,0.0,0.0
ਪਾਲਣ,0.0,0.0
ਮੋਟਰ,0.0,0.0
ਅਨੰਦਪੂਰਨ,0.20833333,0.5
ਪੱਕਣਾ,0.19642857,0.7083333
ਬਦਸੂਰਤੀ,0.0,0.5
ਵਾਰੇ,0.0,0.0
ਸ਼ੂਕਰ,0.25,0.20833333
ਕੂਚਾ,0.125,0.0
ਸਾਰਨੀ,0.0,0.0
ਕੂਚੀ,0.0,0.0
ਸਾਰਨਾ,0.125,0.0
ਨਿਵਿਰਤ,0.125,0.375
ਮੋਟਾ,0.0,0.0
ਛਲ਼ਹੀਣ,0.45,0.45833334
ਭਟਕਣਾ,0.0,0.0
ਦਲਦਲ,0.0,0.5
ਖੰਧਲਾ,0.0,0.0
ਤੰਦੀ,0.0,0.0
ਤਾਂਘੀ,0.4375,0.25
ਪਾਲਾ,0.328125,0.3846154
ਹੋਟਲ,0.0,0.0
ਟਿਕਟ,0.375,0.125
ਟਾਲ਼ਾ,0.375,0.28125
ਛਲਨੀ,0.0,0.0
ਗੈਟਸ,0.0,0.0
ਚਿੰਤਾ_ਮੁਕਤ,0.0,0.0
ਮੁਲਜ਼ਮ,0.125,0.5625
ਅਨੁਗਰਹਿ,0.4102,0.37150002
ਚੋਪਦਾਰ,0.0,0.0
ਧਰੁਬੜੀ,0.0,0.0
ਕੁਸਮ,0.0,0.0
ਕਟਰੂ,0.0,0.0
ਦਲਣਾ,0.0,0.225
ਪਾਯਾ,0.0,0.125
ਨਿਰਾਹਾਰ,0.0,0.0
ਦਾਨਸ਼ਮੰਦਾਨਾ,0.53125,0.125
ਰੰਗਹੀਣ,0.0,0.0
ਕੰਨ_ਭਰਨਾ,0.25,0.1875
ਕਿੱਲ,0.29166666,0.375
ਵਾਯੂ,0.0,0.0
ਰੰਗਹੀਨ,0.0,0.0
ਤੰਤਰ,0.5,0.25
ਨਿਰਜਲ,0.0,0.25
ਬੇਰੌਣਕ,0.0,0.625
ਪਾਰੀ,0.0,0.0
ਯੰਤਰ,0.0,0.0
ਸ਼ਰਮਿੰਦਿਆਂ,0.0,0.75
ਕਿੱਟ,0.0,0.125
ਨੀਲਾਮ,0.0,0.0
ਕੁਲੀ,0.0,0.0
ਮੁੜਵਾਉਣਾ,0.20833333,0.25
ਸਰਦਾਰ,0.0,0.0
